"myid","tbs","Name","Rem","Imax","Ipeak","Capacity","Weight","Ri","Volt","ts"
"1",""," Constant voltage","","","","","","","","2008-12-29 18:31:08"
"2","4","E-Tec 1200 Li-Poly","","7.2","10.0","1200.0","12.5","33.0","3.7","2006-03-21 17:15:41"
"3","4","E-Tec 700 Li-Poly","","4.6","6.0","700.0","11.0","42.0","3.7","2006-03-21 17:15:41"
"4","4","GP 1100 2/3 AA","Batteries","14.0","20.0","1100.0","22.0","9.2","1.2","2007-10-05 09:48:54"
"5","4","GP 2000 4/5 AA FAUP","","30.0","45.0","2000.0","35.0","8.0","1.2","2006-03-22 13:43:51"
"6","4","GP 2200 4/5","Gegi Prüfstand","33.0","50.0","2200.0","44.0","5.5","1.2","2006-03-22 13:44:04"
"7","4","GP 3300 SCI","Gegi Prüfstand","36.0","55.0","3300.0","63.0","4.5","1.2","2006-03-22 13:44:26"
"8","4","GP 3700 SC","Gegi Prüfstand","38.0","60.0","3700.0","65.0","3.5","1.2","2006-03-22 13:48:43"
"9","4","GP 4300 SCHR","Gegi Prüfstand","40.0","65.0","4100.0","66.0","3.0","1.2","2006-03-22 13:49:10"
"10","4","HDHE 1550","","15.0","18.0","1550.0","35.0","22.7","3.7","2006-03-21 17:15:41"
"11","4","HDHE 2050","","18.5","22.0","2050.0","42.0","16.2","3.7","2006-03-21 17:15:41"
"12","4","KAN 1050 NiMH","Batteries","15.0","18.0","1050.0","19.0","12.1","1.2","2007-10-05 09:49:57"
"13","4","KAN 1150 2/3 A","Batteries","15.0","20.0","1150.0","22.0","10.0","1.2","2007-10-05 09:51:08"
"14","4","KAN 1200 4/5 AA","","16.0","24.0","1200.0","22.0","13.0","1.2","2006-03-21 17:15:41"
"15","4","KAN 1250","Batteries","18.0","25.0","1250.0","22.0","9.0","1.2","2007-10-05 09:53:32"
"16","4","KAN 1400 AA","Batteries","14.0","16.0","1400.0","26.2","10.8","1.2","2007-10-05 09:55:09"
"17","4","KAN 1800 4/5 SC","","27.0","40.0","1800.0","57.0","8.0","1.2","2006-03-21 17:15:41"
"18","4","KAN 2100 A","","27.0","40.0","2100.0","38.5","8.0","1.2","2006-03-21 17:15:41"
"19","4","KAN 2500 SC","","29.0","44.0","2500.0","53.0","7.0","1.2","2006-03-21 17:15:41"
"20","4","KAN 2800 7/5 A","","31.0","46.0","2800.0","43.0","7.0","1.2","2006-03-21 17:15:41"
"21","4","KAN 2800 SC","","44.0","67.0","2800.0","57.0","5.0","1.2","2006-03-21 17:15:41"
"22","4","KAN 3000 SC","","44.0","67.0","3000.0","60.0","5.0","1.2","2006-03-21 17:15:41"
"23","4","KAN 350 4/5 AAA","","11.0","17.0","350.0","7.7","18.0","1.2","2006-03-21 17:15:41"
"24","4","KAN 500 AAA","","14.0","21.0","500.0","10.6","14.0","1.2","2007-08-31 19:44:35"
"25","4","KAN 650 2/3 AA","","16.0","24.0","650.0","14.6","13.0","1.2","2006-03-21 17:15:41"
"26","4","KAN 650 AAA","","14.0","21.0","650.0","12.9","14.0","1.2","2006-03-21 17:15:41"
"27","4","Kokam 1250HD","Gegi Prüfstand","12.5","18.0","1250.0","34.0","25.0","3.7","2006-03-21 17:15:41"
"28","4","Kokam 1500H","Gegi Prüfstand","23.0","30.0","1500.0","37.0","15.0","3.7","2006-03-22 13:45:11"
"29","4","Kokam 2000SHD","Gegi Prüfstand","25.0","30.0","2000.0","52.0","20.0","3.7","2006-03-22 13:45:31"
"30","4","Kokam 2100SHD","Gegi Prüfstand","31.0","42.0","2100.0","80.0","12.0","3.7","2006-03-21 17:15:41"
"31","4","Kokam 3200SHD","Gegi Prüfstand","48.0","64.0","3200.0","80.0","8.0","3.7","2006-03-21 17:15:41"
"32","4","Kokam 360SHD","Batteries","5.4","7.2","360.0","11.0","69.0","3.7","2007-10-05 10:14:20"
"33","4","Kokam 4800H","Batteries","72.0","96.0","4800.0","115.0","3.4","3.7","2007-10-05 10:12:20"
"34","4","Kokam 640SHD","Gegi Prüfstand","6.5","9.6","640.0","17.0","40.0","3.7","2006-03-21 17:15:41"
"35","4","Kokam 730SHD","Batteries","11.0","15.0","730.0","21.0","25.0","3.7","2007-10-05 10:16:31"
"36","4","Kokam 910SHD","Gegi Prüfstand","10.0","13.65","910.0","23.0","26.0","3.7","2006-03-21 17:15:41"
"37","4","MamoPoly 1450","Gegi Prüfstand","20.0","29.0","1450.0","40.0","16.0","3.7","2006-03-21 17:15:41"
"38","4","MamoPoly 2100","Gegi Prüfstand","30.0","40.0","2100.0","46.0","13.0","3.7","2006-03-21 17:15:41"
"39","4","MamoPoly 480","Gegi Prüfstand","7.2","9.6","480.0","10.5","50.0","3.7","2006-03-21 17:15:41"
"40","4","MamoPoly 950","Gegi Prüfstand","19.0","22.0","950.0","27.0","31.0","3.7","2006-03-21 17:15:41"
"41","4","PolyQuest 1200XP","Gegi Prüfstand","18.0","24.0","1200.0","28.0","18.0","3.7","2006-03-21 17:15:41"
"42","4","PolyQuest 1800XP","Gegi Prüfstand","27.0","32.0","1800.0","41.0","12.0","3.7","2006-03-21 17:15:41"
"43","4","PolyQuest 2100XP","Gegi Prüfstand","31.5","38.0","2100.0","47.0","12.0","3.7","2006-03-21 17:15:41"
"44","4","PolyQuest 2500XP","Gegi Prüfstand","37.5","45.0","2500.0","60.0","8.5","3.7","2006-03-21 17:15:41"
"45","4","PolyQuest 300XP","Batteries","6.0","6.6","300.0","9.0","98.0","3.7","2007-10-05 10:05:25"
"46","4","PolyQuest 3300XP","Gegi Prüfstand","49.5","60.0","3300.0","76.0","6.0","3.7","2006-03-21 17:15:41"
"47","4","PolyQuest 3700XP","Gegi Prüfstand","55.5","66.0","3700.0","85.0","5.5","3.7","2006-03-21 17:15:41"
"48","4","PolyQuest 400XP","Gegi Prüfstand","6.0","7.0","400.0","14.0","75.0","3.7","2006-03-21 17:15:41"
"49","4","PolyQuest 800XP","Batteries","10.0","14.0","800.0","22.0","38.0","3.7","2007-10-05 10:07:45"
"50","4","Sanyo N-500 AR","","12.0","14.0","500.0","22.0","9.0","1.2","2006-03-21 17:15:41"
"51","4","Sanyo RC-1700","","30.0","48.0","1750.0","55.0","3.8","1.2","2006-03-21 17:15:41"
"52","4","Sanyo RC-2400","","30.0","48.0","2300.0","59.0","3.5","1.2","2006-03-21 17:15:41"
"53","4","Sanyo RC-3300HV","","30.0","48.0","3300.0","60.0","5.0","1.2","2006-03-21 17:15:41"
"54","4","Sanyo RC-3600HV","","30.0","48.0","3600.0","60.0","4.0","1.2","2006-03-21 17:15:41"
"55","4","Tanic 1550","","16.0","19.0","1550.0","34.0","30.1","3.7","2006-03-22 13:46:08"
"56","4","Tanic 1760","","27.0","35.0","1760.0","43.0","11.0","3.7","2006-03-22 13:47:15"
"57","4","Tanic 2480","","37.5","50.0","2480.0","64.0","8.5","3.7","2006-03-22 13:47:33"
