"myid","tbs","Name","Rem","Imax","Ipeak","R","Weight","NiMHmin","NiMHmax","LiPomin","LiPomax","ts"
"1","4","SBL Micro Autotiming","","0.0","0.0","0.0","0.0","0","0","0","0","2006-03-21 17:17:11"
"2","4","Aveox H-160","","60.0","100.0","7.0","74.0","0","30","0","0","2006-03-21 17:17:11"
"3","4","Aveox SH-18","","25.0","45.0","2.75","74.0","0","30","0","0","2006-03-21 17:17:11"
"4","4","Aveox SH-48","","40.0","50.0","2.75","74.0","0","30","0","0","2006-03-21 17:17:11"
"5","4","Aveox SH-96","","100.0","125.0","2.75","74.0","0","30","0","0","2006-03-21 17:17:11"
"6","4","Aveox SL-48","","60.0","80.0","2.75","48.0","0","16","0","0","2006-03-21 17:17:11"
"7","4","Castle Phoenix 10 ","ESC","10.0","15.0","13.0","6.0","5","16","2","4","2007-09-15 20:28:22"
"8","4","Castle Phoenix 35 ","","35.0","40.0","4.5","25.0","0","16","0","0","2006-03-21 17:17:11"
"9","4","Castle Phoenix 45 ","","45.0","60.0","2.6","30.0","0","16","0","0","2006-03-21 17:17:11"
"10","4","Castle Phoenix 60 ","","60.0","80.0","1.2","58.0","0","20","0","0","2006-03-21 17:17:11"
"11","4","Castle Phoenix 80 ","","80.0","120.0","1.0","60.0","0","20","0","0","2006-03-21 17:17:11"
"12","4","Hacker 06-3P","","6.0","6.0","12.0","12.0","0","10","0","0","2006-03-21 17:17:11"
"13","4","Hacker 105-3P Opto","","105.0","150.0","1.5","41.0","0","16","0","0","2006-03-21 17:17:11"
"14","4","Hacker 18-3P","","18.0","22.0","7.0","15.0","0","10","0","0","2006-03-21 17:17:11"
"15","4","Hacker 30-3P","","30.0","35.0","6.0","20.0","0","10","0","0","2006-03-21 17:17:11"
"16","4","Hacker 40-3P Opto","","40.0","48.0","5.0","31.0","0","16","0","0","2006-03-21 17:17:11"
"17","4","Hacker 48-3P Opto","","48.0","55.0","5.0","48.0","0","30","0","0","2006-03-21 17:17:11"
"18","4","Hacker 70-3P Opto","","70.0","80.0","3.0","41.0","0","16","0","0","2006-03-21 17:17:11"
"19","4","Hacker 77-3P","","77.0","88.0","3.0","43.0","0","30","0","0","2006-03-21 17:17:11"
"20","4","Hacker 99-3P","","99.0","130.0","2.0","48.0","0","24","0","0","2006-03-21 17:17:11"
"21","4","Kontronik Beat 30-8-30","","30.0","40.0","6.0","14.0","0","30","0","0","2006-03-21 17:17:11"
"22","4","Kontronik Beat 40-6-12","","40.0","50.0","5.0","14.0","0","12","0","0","2006-03-21 17:17:11"
"23","4","Kontronik Beat 40-6-18","","40.0","50.0","5.0","14.0","0","18","0","0","2006-03-21 17:17:11"
"24","4","Kontronik Beat 40-8-24","","40.0","50.0","5.0","14.0","0","24","0","0","2006-03-21 17:17:11"
"25","4","Kontronik Beat 50-8-30","","50.0","60.0","4.0","21.0","0","30","0","0","2006-03-21 17:17:11"
"26","4","Kontronik Beat 55-6-18","","55.0","70.0","4.0","14.0","0","18","0","0","2006-03-21 17:17:11"
"27","4","Kontronik Beat 60-8-24","","60.0","70.0","3.0","21.0","0","24","0","0","2006-03-21 17:17:11"
"28","4","Kontronik Beat 70-6-12 ","","70.0","90.0","3.0","21.0","0","12","0","0","2006-03-21 17:17:11"
"29","4","Kontronik Beat 80-6-18","","80.0","100.0","3.0","21.0","0","18","0","0","2006-03-21 17:17:11"
"30","4","Kontronik Smile 30-6-12","","30.0","40.0","6.0","13.0","0","12","0","0","2006-03-21 17:17:11"
"31","4","Kontronik Smile 40-6-12","","40.0","50.0","5.0","17.0","0","12","0","0","2006-03-21 17:17:11"
"32","4","Kontronik Smile 40-6-18","","40.0","50.0","5.0","17.0","0","18","0","0","2006-03-21 17:17:11"
"33","4","Kontronik Smile 50-6-18","","50.0","60.0","4.0","17.0","0","18","0","0","2006-03-21 17:17:11"
"34","4","Schulze 11.20e ","","20.0","26.0","8.0","18.0","0","11","0","0","2006-03-21 17:17:11"
"35","4","Schulze 11.30e","","30.0","40.0","7.0","20.0","0","11","0","0","2006-03-21 17:17:11"
"36","4","Schulze 11.40Ke","","40.0","53.0","4.0","35.0","0","11","0","0","2006-03-21 17:17:11"
"37","4","Schulze 12.36e","","36.0","47.0","7.0","41.0","0","12","0","0","2006-03-21 17:17:11"
"38","4","Schulze 12.46e","","46.0","60.0","4.6","41.0","0","12","0","0","2006-03-21 17:17:11"
"39","4","Schulze 12.97Fe","","97.0","128.0","1.6","44.0","0","12","0","0","2006-03-21 17:17:11"
"40","4","Schulze 18.129F","","129.0","171.0","0.8","44.0","0","18","0","0","2006-03-21 17:17:11"
"41","4","Schulze 18.36","","36.0","47.0","7.0","33.0","0","18","0","0","2006-03-21 17:17:11"
"42","4","Schulze 18.46K","","46.0","60.0","4.6","41.0","0","18","0","0","2006-03-21 17:17:11"
"43","4","Schulze 18.61","","61.0","81.0","2.6","36.0","0","18","0","0","2006-03-21 17:17:11"
"44","4","Schulze 18.97F","","97.0","128.0","1.6","44.0","0","18","0","0","2006-03-21 17:17:11"
"45","4","Schulze 24.40K","","40.0","53.0","6.0","41.0","0","24","0","0","2006-03-21 17:17:11"
"46","4","Schulze 24.89F","","89.0","119.0","1.0","44.0","0","24","0","0","2006-03-21 17:17:11"
"47","4","Schulze 32.170W","","170.0","226.0","1.8","195.0","0","32","0","0","2006-03-21 17:17:11"
"48","4","Schulze 32.28K","","28.0","37.0","16.0","41.0","0","32","0","0","2006-03-21 17:17:11"
"49","4","Schulze 32.40K","","40.0","53.0","7.4","41.0","0","32","0","0","2006-03-21 17:17:11"
"50","4","Schulze 32.55","","55.0","73.0","5.4","48.0","0","32","0","0","2006-03-21 17:17:11"
