"myid","tbs","Name","Rem","ratG","EtaG","Stages","weight","ts"
"1",""," Direct drive","","1.0","1.0","0","","2008-12-29 18:31:08"
"2","4","Standard","","1.5","0.96","1","0.0","2006-03-21 17:17:41"
"3","4","Standard","","1.7","0.96","1","0.0","2006-03-21 17:17:41"
"4","4","Standard","","1.85","0.96","1","0.0","2006-03-21 17:17:41"
"5","4","Standard","","2.0","0.96","1","0.0","2006-03-21 17:17:41"
"6","4","Standard","","2.33","0.95","1","0.0","2006-03-21 17:17:41"
"7","4","Standard","","2.5","0.95","1","0.0","2006-03-21 17:17:41"
"8","4","Standard","","2.7","0.95","1","0.0","2006-03-21 17:17:41"
"9","4","Standard","","2.8","0.95","1","0.0","2006-03-21 17:17:41"
"10","4","Standard","","3.0","0.95","1","0.0","2006-03-21 17:17:41"
"11","4","Standard","","3.2","0.95","1","0.0","2006-03-21 17:17:41"
"12","4","Standard","","3.5","0.95","1","0.0","2006-03-21 17:17:41"
"13","4","Standard","","3.7","0.98","1","0.0","2009-11-13 09:42:01"
"14","4","Standard","","4.0","0.95","1","0.0","2006-03-21 17:17:41"
"15","4","Standard","","4.5","0.95","1","0.0","2006-03-21 17:17:41"
"16","4","Standard","","5.0","0.95","1","0.0","2006-03-21 17:17:41"
"17","4","Standard","","5.2","0.95","1","0.0","2006-03-21 17:17:41"
"18","4","Standard","","5.4","0.95","1","0.0","2006-03-21 17:17:41"
"19","4","Standard","","5.7","0.95","1","0.0","2006-03-21 17:17:41"
"20","4","Standard","","6.0","0.95","1","0.0","2006-03-21 17:17:41"
"21","4","Micro-Heli (Hauptrotorantrieb)","","18.0","0.85","2","0.0","2006-03-21 17:17:41"
"22","4","Standard","","6.8","0.95","1","0.0","2006-03-21 17:25:17"
"23","4","Standard","","6.7","0.968","1","0.0","2006-03-21 17:28:53"
"24","4","Standard","Beavrdam","4.43","0.95","1","0.0","2006-04-13 23:54:28"
"25","4","Standard","","6.61","0.968","1","0.0","2006-06-15 20:27:44"
"26","4","Standard","","6.6","0.968","1","0.0","2006-06-15 20:35:11"
"27","4","Standard","","5.3","0.968","1","0.0","2006-06-15 20:35:57"
"28","4","Kruse Intro Gear 400","Bernhard Erdt","2.0","0.96","1","69.0","2006-08-18 13:15:56"
"29","4","Graupner Speed Gear 500/600","Bernhard Erdt","2.8","0.92","2","42.0","2006-08-18 13:16:31"
"30","4","Kruse Intro Gear 400","Bernhard Erdt","2.4","0.96","1","69.0","2006-08-18 13:16:15"
"31","4","Feigao","Feigao.de","4.0","0.95","1","0.0","2006-08-25 17:50:46"
"32","4","Feigao","Feigao.de","5.2","0.95","1","75.0","2006-09-12 15:36:47"
"33","4","Standard","","3.1","1.0","1","0.0","2006-09-28 20:45:56"
"34","4","Feigao","FEIGAO.de","4.4","0.95","1","61.0","2006-09-12 15:36:38"
"35","4","Standard","","6.3","0.97","1","0.0","2006-07-15 11:51:59"
"36","4","Kontronik","","4.2","0.968","1","0.0","2008-03-25 15:50:28"
"37","4","Maxon","","4.4","0.96","1","0.0","2006-03-21 17:17:41"
"38","4","Axi PG 3","http://www.modelmotors.cz/index.php?page=61&product=2217&serie=9DPG&line=GOLD","3.1","0.92","1","21.5","2011-12-02 12:08:39"
"39","4","Micro-Edition","Reisenauer","5.0","0.975","1","18.0","2007-02-20 13:14:47"
"40","4","Super Chief ","Reisenauer","5.94","0.984","1","85.0","2007-02-22 17:18:08"
"41","4","BK Power Gear","Gear","7.0","0.984","1","94.0","2007-10-20 12:45:04"
"42","4","BK Power Gear","Gear","5.0","0.95","1","94.0","2007-10-27 12:12:12"
"43","4","SuperChief","Gear","8.0","0.984","1","85.0","2007-10-28 18:50:42"
"44","4","Micro-Edition","Reisenauer","4.5","0.975","1","26.0","2007-12-15 10:33:53"
