"myid","tbs","motor_id","U","n","I","IsNoLoad","prop_id","Alt","Temp"
"1","4","1","7.19","39315.0","0.78","1","0","0","15.0"
"2","4","1","6.9","36816.0","1.43","0","0","0","15.0"
"3","4","1","6.19","29165.0","4.55","0","0","0","15.0"
"4","4","2","7.58","0.0","0.34","1","0","0","15.0"
"5","4","2","7.62","16700.0","0.43","0","0","0","15.0"
"6","4","2","6.4","9600.0","3.09","0","0","0","15.0"
"7","4","2","6.15","9000.0","2.93","0","0","0","15.0"
"8","4","3","7.26","12411.5","0.38","1","0","0","15.0"
"9","4","3","7.07","10115.0","2.77","0","0","0","15.0"
"10","4","3","6.86","8470.0","4.76","0","0","0","15.0"
"11","4","3","6.96","9280.0","3.81","0","0","0","15.0"
"12","4","4","7.81","22360.0","0.67","1","0","0","15.0"
"13","4","4","6.98","16080.0","6.97","0","0","0","15.0"
"14","4","4","5.8","11639.999999999998","9.8","0","0","0","15.0"
"15","4","5","8.89","26520.0","1.27","1","0","0","15.0"
"16","4","5","7.02","14280.000000000002","12.57","0","0","0","15.0"
"17","4","5","8.07","15660.0","15.6","0","0","0","15.0"
"18","4","6","11.82","21000.0","0.42","1","0","0","15.0"
"19","4","6","8.32","11639.999999999998","4.98","0","0","0","15.0"
"20","4","6","10.28","13590.0","6.79","0","0","0","15.0"
"21","4","7","8.18","17585.0","0.4","1","0","0","15.0"
"22","4","7","7.03","12865.000000000002","4.92","0","0","0","15.0"
"23","4","7","6.92","11750.0","6.97","0","0","0","15.0"
"24","4","7","5.93","7635.0","11.64","0","0","0","15.0"
"25","4","8","8.56","0.0","0.66","1","0","0","15.0"
"26","4","8","7.45","10036.999999999998","3.99","0","0","0","15.0"
"27","4","8","7.88","8936.0","9.36","0","0","0","15.0"
"28","4","9","8.1","21500.0","0.43","1","0","0","15.0"
"29","4","9","6.65","13710.0","5.12","0","0","0","15.0"
"30","4","9","7.0","15580.000000000002","3.8","0","0","0","15.0"
"31","4","10","8.93","0.0","0.7","1","0","0","15.0"
"32","4","10","7.88","9988.0","4.12","0","0","0","15.0"
"33","4","10","7.18","7776.0","8.16","0","0","0","15.0"
"34","4","10","6.35","6149.0","10.03","0","0","0","15.0"
"35","4","11","7.81","17660.0","0.8","1","0","0","15.0"
"36","4","11","8.32","18810.0","0.83","1","0","0","15.0"
"37","4","11","6.9","13550.0","6.07","0","0","0","15.0"
"38","4","11","6.45","11850.0","8.37","0","0","0","15.0"
"39","4","12","7.77","16140.0","0.51","1","0","0","15.0"
"40","4","12","8.99","18660.0","0.57","1","0","0","15.0"
"41","4","12","7.12","12930.0","4.79","0","0","0","15.0"
"42","4","12","6.75","11450.000000000002","6.99","0","0","0","15.0"
"43","4","13","8.34","17730.0","0.53","1","0","0","15.0"
"44","4","13","7.08","15060.0","0.49","1","0","0","15.0"
"45","4","13","7.14","13260.0","5.1","0","0","0","15.0"
"46","4","13","6.67","11580.0","7.26","0","0","0","15.0"
"47","4","14","7.91","12690.0","0.33","1","0","0","15.0"
"48","4","14","11.31","18090.0","0.45","1","0","0","15.0"
"49","4","14","7.58","10999.999999999998","2.49","0","0","0","15.0"
"50","4","14","6.65","7535.0","7.3","0","0","0","15.0"
"51","4","15","8.09","18840.0","0.68","1","0","0","15.0"
"52","4","15","12.04","28096.0","0.84","1","0","0","15.0"
"53","4","15","6.91","14290.000000000002","6.48","0","0","0","15.0"
"54","4","15","6.45","12390.0","9.17","0","0","0","15.0"
"55","4","16","11.27","14080.0","0.6","1","0","0","15.0"
"56","4","16","7.96","9959.999999999998","0.5","1","0","0","15.0"
"57","4","16","10.18","11580.0","4.42","0","0","0","15.0"
"58","4","16","9.15","9240.0","9.35","0","0","0","15.0"
"59","5","17","10.1","13680.0","0.64","1","0","0","15.0"
"60","5","17","12.15","16340.0","0.75","1","0","0","15.0"
"61","5","17","11.38","13890.0","7.66","0","0","0","15.0"
"62","5","17","8.47","9060.0","14.13","0","0","0","15.0"
"63","5","17","9.48","11970.0","5.04","0","0","0","15.0"
"64","4","18","11.15","9570.0","0.63","1","0","0","15.0"
"65","4","18","10.05","6960.0","8.33","0","0","0","15.0"
"66","4","18","9.63","6220.0","10.69","0","0","0","15.0"
"67","4","18","10.52","7970.0","5.36","0","0","0","15.0"
"68","4","19","8.17","5525.0","0.56","1","0","0","15.0"
"69","4","19","10.48","7090.0","0.63","1","0","0","15.0"
"70","4","19","9.81","5660.0","10.87","0","0","0","15.0"
"71","4","19","9.6","5184.999999999999","14.87","0","0","0","15.0"
"72","4","20","11.22","16655.0","2.11","1","0","0","15.0"
"73","4","20","7.8","11595.0","1.53","1","0","0","15.0"
"74","4","20","6.9","9829.999999999998","4.57","0","0","0","15.0"
"75","4","20","10.03","13145.0","14.23","0","0","0","15.0"
"76","4","21","8.0","19460.0","0.89","1","0","0","15.0"
"77","4","21","6.97","16970.0","0.8","1","0","0","15.0"
"78","4","21","6.6","14230.0","6.69","0","0","0","15.0"
"79","4","21","6.17","12430.0","9.55","0","0","0","15.0"
"80","4","22","11.26","15160.000000000002","0.35","1","0","0","15.0"
"81","4","22","10.59","12920.0","3.34","0","0","0","15.0"
"82","4","22","10.09","9520.0","11.44","0","0","0","15.0"
"83","4","22","6.65","6180.0","8.85","0","0","0","15.0"
"84","4","23","7.41","9035.0","0.47","1","0","0","15.0"
"85","4","23","6.7","7230.0","6.01","0","0","0","15.0"
"86","4","23","10.0","10300.000000000002","11.51","0","0","0","15.0"
