"myid","tbs","Name","Dia","Pitch","a","b","AltThr","TmpThr","srcThr","c","d","AltPwr","TmpPwr","srcPwr","n10N","n100W","Folder","Hub","MaxRPM","match","Rely","ts"
"1","4","APC E","4.1","4.1","0.5022887","2.046544","200","20.0","Dr Kiwi","0.0054099","3.090473","120","18.0","DC generated","41319.2","24023.3","0","0.0","46341","0","15","2009-09-16 18:45:34"
"2","4","Grp. Miniprop","4.3","2.0","0.503854","2.0","60","22.0","cp","0.0032156","3.0","60","22.0","cp","44987.0","31447.0","0","0.0","0","0","1","2007-01-16 18:08:41"
"3","4","APC E","4.5","4.1","0.6712356","2.073493","200","20.0","Dr Kiwi","0.007823","3.097283","60","20.0","DC generated","34230.9","21177.8","0","0.0","42222","0","17","2009-05-01 10:40:54"
"4","4","GrpCamSpeed","4.7","4.7","0.91","2.0","60","22.0","cp","0.0148088","2.981656","60","22.0","DC generated","33474.9","19246.3","0","0.0","0","0","8","2009-05-01 10:41:39"
"5","4","APC E","4.75","4.75","0.710704","2.08759","200","20.0","Dr Kiwi","0.0184333","2.952106","120","18.0","DC generated","32521.4","18407.5","0","0.0","40000","0","25","2010-03-08 15:33:50"
"6","4","APC E","4.75","5.5","0.6704599","2.11517","200","20.0","Dr Kiwi","0.0180905","3.0","120","18.0","DC generated","31946.3","17681.4","0","0.0","40000","0","1","2009-10-24 11:59:47"
"7","4","GWS HD","5.0","3.0","0.8895305000000001","2.015137","200","20.0","Dr Kiwi","0.0093357","2.942698","0","15.0","DC generated","32973.8","23412.2","0","0.0","20000","0","14","2009-10-24 12:00:43"
"8","4","Günther","5.0","4.3","0.7874349","2.2219","200","20.0","Dr Kiwi","0.0129501","3.0","57","14.0","DC generated","25160.7","19765.6","0","0.0","0","0","6","2009-05-01 10:45:59"
"9","4","GWS HD","5.0","4.3","1.045482","2.095463","200","20.0","Dr Kiwi","0.0232101","2.789532","57","6.0","DC generated","26698.9","20083.7","0","0.0","20000","0","11","2010-03-08 15:34:57"
"10","4","APC E","5.25","4.75","1.489327","2.0","200","20.0","Dr Kiwi","0.0215803","3.0","120","18.0","DC generated","26166.4","16671.7","0","0.0","36190","0","4","2009-05-01 10:48:02"
"11","4","APC E","5.25","6.25","0.9939291","2.122766","200","20.0","Dr Kiwi","0.0290466","3.04","120","18.0","Hyperion","26211.4","14569.9","0","0.0","36190","0","7","2010-03-08 15:38:47"
"12","4","GrpCamSpeed","5.5","4.3","1.35782","2.0","60","22.0","cp","0.0287182","2.90258","60","22.0","DC generated","27404.3","16605.0","0","0.0","0","0","4","2009-10-24 12:03:13"
"13","4","APC E","5.5","4.5","1.03563","2.130368","200","20.0","Dr Kiwi","0.0142241","3.093204","120","18.0","DC generated","25412.7","17526.1","0","0.0","34545","0","8","2010-03-08 15:39:23"
"14","4","Graupner Speed","5.5","5.5","1.35","2.07","120","18.0","Hyperion","0.016","3.2","120","18.0","Hyperion","24570.19","15353.68","0","0.0","0","0","7","2006-03-21 17:17:59"
"15","4","APC E","5.5","6.25","1.106735","2.05860356","200","20.0","Dr. Kiwi","0.0351932","2.914398","120","18.0","DC generated","27543.7","15310.6","0","0.0","34545","0","2","2009-05-01 10:50:10"
"16","4","GWS HD","6.0","3.0","1.291715","2.095404","200","20.0","Dr Kiwi","0.0158507","3.009884","57","6.0","DC generated","24137.9","18301.7","0","0.0","16666","0","30","2007-09-20 19:50:19"
"17","4","APC E","6.0","4.0","1.524534","2.114511","200","20.0","Dr Kiwi","0.0157426","3.148175","120","18.0","DC generated","21685.4","16142.7","0","0.0","31666","0","36","2009-10-24 12:07:30"
